address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"2001 FLATBUSH AVE NEW YORK, NY 11234 ",2001,FLATBUSH AVE,NEW YORK,NY,11234,-73.934894,40.621005,36,047,065000,2
"152-15 33 AVE NEW YORK, NY 11354 ",152-15,33 AVE,NEW YORK,NY,11354,-73.81175,40.768814,36,081,115500,1
"203-12 LINDEN BLVD NEW YORK, NY 11412 ",203-12,LINDEN BLVD,NEW YORK,NY,11412,-73.748926,40.6952,36,081,038400,1
"238 WEBSTER AVE NEW YORK, NY 11230 ",238,WEBSTER AVE,NEW YORK,NY,11230,-73.972538,40.631915,36,047,048000,1
"533 CROWN ST NEW YORK, NY 11213 ",533,CROWN ST,NEW YORK,NY,11213,-73.940911,40.665924,36,047,033300,1
"69-18 225 ST NEW YORK, NY 11364 ",69-18,225 ST,NEW YORK,NY,11364,-73.750384,40.743938,36,081,137700,4
"535 W 155 ST NEW YORK, NY 10032 ",535,W  155 ST,NEW YORK,NY,10032,-73.944865,40.832531,36,061,024100,3
"3103 MILES AVE NEW YORK, NY 10465 ",3103,MILES AVE,NEW YORK,NY,10465,-73.81012,40.82138,36,005,013800,1
"931 LINCOLN PL NEW YORK, NY 11213 ",931,LINCOLN PL,NEW YORK,NY,11213,-73.945611,40.670665,36,047,033900,4
"123-21 LAX AVE NEW YORK, NY 11356 ",123-21,LAX AVE,NEW YORK,NY,11356,-73.843251,40.793897,36,081,093900,1
"223-39 112 RD NEW YORK, NY 11429 ",223-39,112 RD,NEW YORK,NY,11429,-73.732698,40.704804,36,081,058000,4
"449 MONROE ST NEW YORK, NY 11221 ",449,MONROE ST,NEW YORK,NY,11221,-73.939373,40.686895,36,047,027700,4
"1247 TROY AVE NEW YORK, NY 11203 ",1247,TROY AVE,NEW YORK,NY,11203,-73.934982,40.642184,36,047,083800,1
"91-15 86 AVE NEW YORK, NY 11421 ",91-15,86 AVE,NEW YORK,NY,11421,-73.853691,40.695448,36,081,001400,3
"21-39 32 ST NEW YORK, NY 11105 ",21-39,32 ST,NEW YORK,NY,11105,-73.90902,40.77674,36,081,011300,2
"80-33 217 ST NEW YORK, NY 11427 ",80-33,217 ST,NEW YORK,NY,11427,-73.75351,40.73354,36,081,129102,1
"1034 E 230 ST NEW YORK, NY 10466 ",1034,E  230 ST,NEW YORK,NY,10466,-73.848659,40.888001,36,005,042400,1
"2843 W 32 ST NEW YORK, NY 11224 ",2843,W  32 ST,NEW YORK,NY,11224,-73.998511,40.576169,36,047,032800,2
"419 9 AVE NEW YORK, NY 10001 ",419,9 AVE,NEW YORK,NY,10001,-73.996753,40.75308,36,061,010300,1
"1716 MCDONALD AVE NEW YORK, NY 11204 ",1716,MCDONALD AVE,NEW YORK,NY,11204,-73.973596,40.610884,36,047,043800,2
"48 S 4 ST NEW YORK, NY 11249 ",48,S  4 ST,NEW YORK,NY,11249,-73.966323,40.712905,36,047,054900,2
"2076 WALLACE AVE NEW YORK, NY 10462 ",2076,WALLACE AVE,NEW YORK,NY,10462,-73.864743,40.852629,36,005,022800,4
"28 3 PL NEW YORK, NY 11231 ",28,3 PL,NEW YORK,NY,11231,-74.000637,40.679331,36,047,006500,5
"1211 JEFFERSON AVE NEW YORK, NY 11221 ",1211,JEFFERSON AVE,NEW YORK,NY,11221,-73.913781,40.690978,36,047,041500,2
