station,borough,trainno,equipment,equipmenttype,serving,ADA,outagedate,estimatedreturntoservice,reason,isupcomingoutage,ismaintenanceoutage
Smith-9 Sts,,F/G,ES313,ES,intermediate mezzanine to 9th St & Smith St (NE corner),N,01/09/2026 11:17:00 PM,10/31/2026 11:59:00 PM,Capital Replacement,N,N
Smith-9 Sts,,F/G,ES314,ES,9th St & Smith St (NE corner) to intermediate mezzanine,N,01/09/2026 11:17:00 PM,10/31/2026 11:59:00 PM,Capital Replacement,N,N
21 St-Queensbridge,,F/M,ES422,ES,mezzanine to 21 St & 41 Ave (NE corner),N,01/14/2026 02:00:00 AM,08/31/2026 02:00:00 PM,Capital Replacement,N,N
21 St-Queensbridge,,F/M,ES421,ES,21 St & 41 Ave (NE corner) to mezzanine,N,01/14/2026 02:00:00 AM,08/31/2026 02:00:00 PM,Capital Replacement,N,N
Smith-9 Sts,,F/G,ES316,ES,intermediate mezzanine to upper mezzanine,N,01/17/2026 08:50:00 AM,10/31/2026 11:59:00 PM,Capital Replacement,N,N
Smith-9 Sts,,F/G,ES315,ES,upper mezzanine to intermediate mezzanine,N,01/17/2026 08:50:00 AM,10/31/2026 11:59:00 PM,Capital Replacement,N,N
Flushing-Main St,,7,EL414,EL,East of Main St & Roosevelt Ave to Manhattan-bound platform.,Y,02/02/2026 11:28:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES408,ES,downtown platform to lower mezzanine for Lexington Ave & 63 St exit,N,03/12/2026 06:36:00 AM,11/30/2026 10:59:00 PM,Capital Replacement,N,N
42 St-Bryant Pk,,B/D/F/M/7,EL295X,EL,39 St & 6th Ave (NW corner) to mezzanine of B/D/F/M and passageway to 7 Line,N,03/16/2026 11:56:00 AM,04/03/2026 12:00:00 PM,Repair,N,N
Delancey St-Essex St,,F/M/J/Z,ES328,ES,uptown F platform to Delancey St & Essex St (SE corner),N,03/17/2026 04:48:00 AM,04/09/2026 06:00:00 AM,Repair,N,N
Roosevelt Island,,F/M,ES412,ES,intermediate mezzanine to W Rd exit,N,03/25/2026 10:15:00 AM,04/11/2026 11:59:00 PM,Repair,N,N
Fulton St,,A/C/J/2/3/4/5/Z,EL717X,EL,Transit Center (near Broadway & John St) to uptown 4/5 platform and concourse for access to rest of complex,Y,03/25/2026 10:25:00 PM,04/03/2026 11:00:00 PM,Repair,N,N
Lexington Av/63 St,,F/M/Q,ES406,ES,lower mezzanine to intermediate mezzanine for Lexington Ave & 63 St exit,N,03/26/2026 05:00:00 AM,11/30/2026 11:59:00 PM,Capital Replacement,N,N
Times Sq-42 St,,A/C/E/N/Q/R/W/1/2/3/7/S,ES268X,ES,N/Q/R/W mezzanine to 42 St & 7th Ave (SE corner),N,03/29/2026 10:11:00 AM,04/03/2026 11:00:00 AM,Repair,N,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,ES257X,ES,4/5/6 mezzanine to 14 St & 4th Ave (NE corner),N,03/29/2026 03:09:00 PM,04/03/2026 04:00:00 PM,Repair,N,N
