,GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
329,H11,209,209,IND,Rockaway,Far Rockaway-Mott Av,Q,False,A,Viaduct,40.603995,-73.755405,Manhattan,Last Stop,1,1,1,,POINT (-73.755405 40.603995)
330,L02,116,601,BMT,Canarsie,6 Av,M,True,L,Subway,40.737335,-73.996786,West Side,Brooklyn,1,1,1,,POINT (-73.996786 40.737335)
331,601,360,360,IRT,Pelham,Pelham Bay Park,Bx,False,6,Elevated,40.852462,-73.828121,Last Stop,Manhattan,1,1,1,,POINT (-73.828121 40.852462)
332,723,465,610,IRT,Flushing,Grand Central-42 St,M,True,7,Subway,40.751431,-73.976041,Queens,Hudson Yards,1,1,1,,POINT (-73.976041 40.751431)
333,613,371,371,IRT,Pelham,Hunts Point Av,Bx,False,6,Subway,40.820948,-73.890549,Northbound,Manhattan,1,1,1,,POINT (-73.890549 40.820948)
337,A07,147,147,IND,8th Av - Fulton St,175 St,M,False,A,Subway,40.847391,-73.939704,Uptown,Downtown,1,1,1,,POINT (-73.939704 40.847391)
346,707,451,451,IRT,Flushing,Junction Blvd,Q,False,7,Elevated,40.749145,-73.869527,Outbound,Manhattan,1,1,1,,POINT (-73.869527 40.749145)
347,R44,38,38,BMT,4th Av,86 St,Bk,False,R,Subway,40.622687,-74.028398,Manhattan,Bay Ridge,1,1,1,,POINT (-74.028398 40.622687)
348,412,387,387,IRT,Jerome Av,170 St,Bx,False,4,Elevated,40.840075,-73.917791,Northbound,Manhattan,1,1,1,,POINT (-73.917791 40.840075)
349,221,434,434,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,False,2 5,Subway,40.816109,-73.917757,Northbound,Manhattan,1,1,1,,POINT (-73.917757 40.816109)
351,125,315,614,IRT,Broadway - 7Av,59 St-Columbus Circle,M,True,1,Subway,40.768247,-73.981929,Uptown,Downtown,1,1,1,,POINT (-73.981929 40.768247)
