InputID,TargetID,Distance
POINT (-73.919899 40.868072),POINT (-73.918822 40.864621),393.846979911374
POINT (-73.960803 40.625039),POINT (-73.961639 40.62927),475.132959415868
POINT (-73.948959 40.645098),POINT (-73.948411 40.639967),571.664633888064
POINT (-73.876613 40.748408),POINT (-73.883697 40.747659),604.031685258053
POINT (-73.953431 40.70687),POINT (-73.950308 40.706092),277.697724738385
POINT (-73.890064 40.873412),POINT (-73.887138 40.873244),247.354848050119
POINT (-73.933147 40.706152),POINT (-73.93985 40.707739),593.230386569587
POINT (-73.945264 40.747023),POINT (-73.946 40.747846),110.528364043883
POINT (-73.837683 40.681711),POINT (-73.832163 40.684331),549.914326135028
POINT (-73.893509 40.866978),POINT (-73.897174 40.86776),320.945034871598
POINT (-73.942161 40.669399),POINT (-73.950466 40.669847),703.98009896536
POINT (-73.87255 40.689941),POINT (-73.867139 40.691324),482.473571653345
POINT (-73.990531 40.699337),POINT (-73.993086 40.697466),299.666219424215
POINT (-73.844521 40.721691),POINT (-73.837324 40.718331),713.426398327564
POINT (-73.904046 40.688764),POINT (-73.905249 40.682829),666.868405391849
POINT (-73.953522 40.689627),POINT (-73.96007 40.688873),559.793808764066
POINT (-74.242096 40.516578),POINT (-74.251961 40.512764),937.205988438834
POINT (-73.900571 40.664038),POINT (-73.902447 40.663515),168.934045161094
POINT (-73.904084 40.695602),POINT (-73.904046 40.688764),759.352762894269
POINT (-73.995048 40.680303),POINT (-73.995959 40.67358),750.535850453831
POINT (-73.950683 40.667883),POINT (-73.950466 40.669847),218.86777462932
POINT (-73.978172 40.636119),POINT (-73.976971 40.629755),713.968631504716
POINT (-73.972361 40.603217),POINT (-73.973022 40.608944),638.417978920042
POINT (-73.927351 40.818375),POINT (-73.926718 40.81841),53.5447390066672
POINT (-74.11721 40.57348),POINT (-74.109704 40.578965),880.286551972194
POINT (-73.788522 40.592374),POINT (-73.796924 40.590927),729.173345079597
POINT (-73.926718 40.81841),POINT (-73.927351 40.818375),53.5447390066672
POINT (-73.97881 40.683666),POINT (-73.977666 40.684359),123.59145602193
POINT (-73.867164 40.871356),POINT (-73.867352 40.865462),654.72859853985
POINT (-73.972367 40.67705),POINT (-73.971046 40.675235),230.426777292085
POINT (-73.954155 40.586896),POINT (-73.955161 40.595246),931.136752114273
POINT (-73.994324 40.646292),POINT (-73.994304 40.640914),597.21329913755
POINT (-73.816859 40.702566),POINT (-73.810708 40.70546),611.144477157316
POINT (-73.949724 40.744065),POINT (-73.948916 40.742216),216.373542703977
