field_1,GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
"58",H01,"196","196",IND,Rockaway,Aqueduct Racetrack,Q,false,A,At Grade,40.672097,-73.835919,Manhattan,Rockaways,"1",true,true,,POINT (-73.835919 40.672097)
"65","238","341","341",IRT,Eastern Pky,Eastern Pkwy-Brooklyn Museum,Bk,false,2 3,Subway,40.671987,-73.964375,Manhattan,Outbound,"1",true,true,,POINT (-73.964375 40.671987)
"69",A15,"153","153",IND,8th Av - Fulton St,125 St,M,false,A C B D,Subway,40.811109,-73.952343,Uptown,Downtown,"1",true,true,,POINT (-73.952343 40.811109)
"80",L10,"121","629",BMT,Canarsie,Lorimer St,Bk,false,L,Subway,40.714063,-73.950275,Manhattan,Outbound,"1",true,true,,POINT (-73.950275 40.714063)
"86",D03,"211","211",IND,Concourse,Bedford Park Blvd,Bx,false,B D,Subway,40.873244,-73.887138,Northbound,Manhattan,"1",true,true,,POINT (-73.887138 40.873244)
"92",Q05,"475","475",IND,Second Av,96 St,M,false,Q,Subway,40.784318,-73.947152,Last Stop,Downtown,"1",true,true,,POINT (-73.947152 40.784318)
"97",R30,"26","26",BMT,Broadway - Brighton,DeKalb Av,Bk,false,B Q R,Subway,40.690635,-73.981824,Manhattan,Southbound,"1",true,true,,POINT (-73.981824 40.690635)
"100",B04,"221","221",IND,63rd St,21 St-Queensbridge,Q,false,F,Subway,40.754203,-73.942836,Outbound,Manhattan,"1",true,true,,POINT (-73.942836 40.754203)
"104",R29,"25","636",BMT,Broadway,Jay St-MetroTech,Bk,false,R,Subway,40.69218,-73.985942,Manhattan,Southbound,"1",true,true,,POINT (-73.985942 40.69218)
"107",D24,"40","617",BMT,Broadway - Brighton,Atlantic Av-Barclays Ctr,Bk,false,B Q,Subway,40.68446,-73.97689,Manhattan,Southbound,"1",true,true,,POINT (-73.97689 40.68446)
"109",F27,"243","243",IND,6th Av - Culver,Church Av,Bk,false,F G,Subway,40.644041,-73.979678,Northbound,Southbound,"1",true,true,,POINT (-73.979678 40.644041)
"112","414","389","604",IRT,Jerome Av,161 St-Yankee Stadium,Bx,false,"4",Elevated,40.827994,-73.925831,Northbound,Manhattan,"1",true,true,,POINT (-73.925831 40.827994)
"120",F01,"254","254",IND,Queens Blvd,Jamaica-179 St,Q,false,F,Subway,40.712646,-73.783817,Last Stop,Manhattan,"1",true,true,,POINT (-73.783817 40.712646)
"125",B21,"68","68",BMT,West End,Bay Pkwy,Bk,false,D,Elevated,40.601875,-73.993728,Manhattan,Southbound,"1",true,true,,POINT (-73.993728 40.601875)
"134","213","426","426",IRT,Lenox - White Plains Rd,E 180 St,Bx,false,2 5,Elevated,40.841894,-73.873488,Northbound,Manhattan,"1",true,true,,POINT (-73.873488 40.841894)
"136",Q04,"476","476",IND,Second Av,86 St,M,false,Q,Subway,40.777891,-73.951787,Uptown,Downtown,"1",true,true,,POINT (-73.951787 40.777891)
"141","208","421","421",IRT,Lenox - White Plains Rd,Gun Hill Rd,Bx,false,2 5,Elevated,40.87785,-73.866256,Northbound,Manhattan,"1",true,true,,POINT (-73.866256 40.87785)
"146",D43,"58","58",BMT,Sea Beach / West End / Culver / Brighton,Coney Island-Stillwell Av,Bk,false,D F N Q,Viaduct,40.577422,-73.981233,Manhattan,Last Stop,"1",true,true,,POINT (-73.981233 40.577422)
"147","628","399","399",IRT,Lexington Av,68 St-Hunter College,M,false,"6",Subway,40.768141,-73.96387,Uptown,Downtown,"1",true,true,,POINT (-73.96387 40.768141)
"148",G16,"269","269",IND,Queens Blvd,Northern Blvd,Q,false,M R,Subway,40.752885,-73.906006,Outbound,Manhattan,"2",true,false,Outbound only,POINT (-73.906006 40.752885)
"149",L29,"138","138",BMT,Canarsie,Canarsie-Rockaway Pkwy,Bk,false,L,At Grade,40.646654,-73.90185,Manhattan,Last Stop,"1",true,true,,POINT (-73.90185 40.646654)
"151",G22,"281","606",IND,Crosstown,Court Sq,Q,false,G,Subway,40.746554,-73.943832,Last Stop,Brooklyn,"1",true,true,,POINT (-73.943832 40.746554)
"159","123","313","313",IRT,Broadway - 7Av,72 St,M,false,1 2 3,Subway,40.778453,-73.98197,Uptown,Downtown,"1",true,true,,POINT (-73.98197 40.778453)
"161","250","345","345",IRT,Eastern Pky,Crown Hts-Utica Av,Bk,false,3 4,Subway,40.668897,-73.932942,Manhattan,Outbound,"1",true,true,,POINT (-73.932942 40.668897)
"173",A55,"188","188",IND,8th Av - Fulton St,Euclid Av,Bk,false,A C,Subway,40.675377,-73.872106,Manhattan,Queens,"1",true,true,,POINT (-73.872106 40.675377)
"178",A02,"143","143",IND,8th Av - Fulton St,Inwood-207 St,M,false,A,Subway,40.868072,-73.919899,Last Stop,Downtown,"1",true,true,,POINT (-73.919899 40.868072)
"187","719","462","606",IRT,Flushing,Court Sq,Q,false,"7",Elevated,40.747023,-73.945264,Outbound,Manhattan,"1",true,true,,POINT (-73.945264 40.747023)
"192",D04,"212","212",IND,Concourse,Kingsbridge Rd,Bx,false,B D,Subway,40.866978,-73.893509,Northbound,Manhattan,"1",true,true,,POINT (-73.893509 40.866978)
